artist,title,play_count,mbid
Indigo De Souza,Good Heart,134,b442b5c1-b195-4c82-91d2-43d6c2c6b33c
The Technicolors,Sweat,134,5999fa06-7a5d-43c3-b579-fac96e585200
"Tyler, The Creator",ARE WE STILL FRIENDS?,134,09884f35-fd29-405a-88af-e192200da238
Fazerdaze,Cherry Pie,133,c5216643-1dc5-4159-b4a4-68c493f8a928
Indigo De Souza,Ghost,133,09162c0a-013f-4fb7-8ec4-f476784c3dea
Indigo De Souza,Take Off Ur Pants,133,a6016563-3366-4f1a-9a33-f56ce56431a5
Indigo De Souza,What Are We Gonna Do Now,133,aae9d727-ca08-404f-9028-f06757ee3e6c
Julien Baker,Something,133,7ecd7773-01a5-4c14-9c30-5c15f177b177
Maggie Rogers,That's Where I Am,133,
Phoebe Bridgers,Killer,133,f1d63d14-cc4b-4743-a29c-83642970c4fb
Bumper,Ballad 0,132,159e4174-16c3-484d-891d-14d104bb5611
Japanese Breakfast,"Glider - from ""Sable"" Original Video Game Soundtrack",132,
Japanese Breakfast,The Body Is a Blade,132,387ef0dc-7ccc-450a-94b8-b039427b0486
Kanye West,POWER,132,dfcfa7b5-1d58-4802-8752-69a28b688092
Luna Li,Afterglow,132,2a1f0fb7-b6eb-4576-a2db-7652acfa5c43
MJ Lenderman,She's Leaving You,132,9bb44294-1ff0-44be-a07b-06bd4d5e28f1
Phoebe Bridgers,Georgia,132,1ee2db05-e2c0-43ca-99ea-b13d9ededc30
¿Téo?,Belong in the Sun,131,
A Tribe Called Quest,Dis Generation,131,32a968e7-ec63-4300-ae6e-09d5d98b2c99
Japanese Breakfast,Soft Sounds from Another Planet,131,13b3b099-8541-4253-8396-45a5052f7281
Mac Miller,Good News,131,4e792d3f-a2c1-43b6-ad25-6a1febb86f2d
Saba,LIFE,131,2e5c4ce5-3bee-4d06-86f1-aa5c5f82f117
Tame Impala,List of People (to Try and Forget About),131,1aad2d09-52f2-47b7-9426-a4957d1f3a4a
Tierra Whack,Only Child,131,2e740060-60e7-4775-8bfa-0fc6eb97469d
Anderson .Paak,Trippy (feat. J. Cole),130,
Kendrick Lamar,"Bitch, Don’t Kill My Vibe",130,
Phoebe Bridgers,Chelsea,130,deace633-4ec9-4bd8-9eae-4c709d1b544b
SZA,I Hate U,130,f5e54962-d384-435f-8006-fbb872790c73
Caroline Rose,Got to Go My Own Way,129,6f42263b-cabd-4fff-8a3a-a3267748a1f6
Clairo,Pretty Girl,129,3a45c9d1-6884-472b-8d74-bb11ceb5193c
Extremely Bad Man,Parting Flowers,129,
Extremely Bad Man,Saturday,129,f0a28ea7-fa96-41c3-a5dd-3a557612242e
Frank Ocean,Alabama,129,0308b2fc-7ece-413c-830b-dddf986e0695
Gorillaz,Kids with Guns,129,36a48bb3-d55b-4071-8de2-8ca9145747c0
Kanye West,All of the Lights,129,074ceeb6-d946-47f2-a5de-e427e725adcb
Lany,13,129,37873dff-b187-459e-b620-1b74b1d4fcf7
Frank Ocean,Cayendo (Side A - Acoustic),128,
Japanese Breakfast,This House,128,56d32ed2-97f7-4cc4-ba43-98b39214da24
Kid Bloom,Different State Of Mind,128,00a2eb56-d672-42f5-bb98-8412d78b4f5b
Noname,"Shadow Man (feat. Phoelix, Smino & Saba)",128,
Noname,Song 32,128,2e2e6e74-9048-455e-b338-b10a5e9c541c
Phoebe Bridgers,Would You Rather,128,32fae347-ca82-4de4-a5cf-d9f0bb1429cb
Phoebe Bridgers,You Missed My Heart,128,4cf12cec-c54f-43b5-8fd8-cc1aab5b7cbc
Snail Mail,Ben Franklin,128,4ac51a29-5faf-4608-bb05-189c02734e30
Tame Impala,The Bold Arrow of Time,128,b5d9ff24-f144-4d36-ac35-6d240b6e08be
Arctic Monkeys,Why'd You Only Call Me When You're High?,127,0010ad5c-c128-4603-b85e-5cb433e6e00d
Caroline Rose,Do You Think We’ll Last Forever?,127,
Cub Sport,Come On Mess Me Up,127,085a0945-c71f-4f9b-8724-f8363ea4d059
Free Cake For Every Creature,Riding Into The Sunset In A Busted Car,127,ee27faae-d8c0-47a3-beea-fbfa6448ae73
Isaiah Rashad,Park,127,15286f4c-4540-4f0a-b6bd-7c4dfd7c16a6
Kid Cudi,All Along,127,c63a4270-addf-378f-acb3-f2d9df37b379
